Thời gian,Biển số,Độ chính xác,Nguồn
21:49:00,29-AB 901.50,87%,Tự động
21:46:11,80A-919.99,85%,Tự động
21:45:52,80A-338.39,88%,Tự động
21:44:02,80-A 919.99,84%,Tự động
21:43:12,78-E 000.03,72%,Tự động
21:42:20,68-E 000.07,78%,Tự động
21:40:52,29-D 012.45,74%,Tự động
21:40:38,66-L1 405.88,99%,Tự động
21:40:16,35-AK 083.38,100%,Tự động
21:40:09,74-81 150.21,75%,Tự động
21:39:49,21-FA 234.56,99%,Tự động
21:38:35,81-HT 090.05,69%,Tự động
21:38:07,98-83 333.33,92%,Tự động
21:37:41,75-F1 917.98,77%,Tự động
21:37:27,35-A 202.44,72%,Tự động
